date,humidity_mean,pressure_mean,temperature_mean,wind_direction_mean,wind_speed,weather_desc_cat_mean,humidity_min,pressure_min,temperature_min,wind_direction_min,wind_speed,weather_desc_cat_min,humidity_max,pressure_max,temperature_max,wind_direction_max,wind_speed,weather_desc_cat_max,humidity_median,pressure_median,temperature_median,wind_direction_median,wind_speed,weather_desc_cat_median,humidity_std,pressure_std,temperature_std,wind_direction_std,wind_speed,weather_desc_cat_std
2013-05-11,60.583333333333336,1014.4166666666666,291.80125,178.75,2.4583333333333335,1.5833333333333333,36,1013,285.66,0.0,0.0,1,77,1016,299.42,350.0,8.0,3,65.5,1014.0,290.75,220.0,2.0,1.0,12.63162582625422,0.7755316082290709,4.882972466510077,113.87684041370613,2.3027236551275663,0.9286112429750729
2013-05-12,80.91666666666667,1009.875,291.30916666666667,175.0,3.7083333333333335,2.4166666666666665,63,1006,289.93,0.0,2.0,1,93,1014,294.04,260.0,6.0,4,82.0,1010.0,290.99,180.0,4.0,3.0,8.355766905539557,2.383138230587356,1.1524300098210936,43.83764512875644,1.1601786469133204,1.3805061033727
2013-05-13,52.666666666666664,1005.625,290.1295833333333,258.75,5.25,1.75,17,1004,286.96,190.0,1.0,1,88,1008,292.9,290.0,10.0,4,56.5,1006.0,289.92499999999995,270.0,5.0,1.0,23.317593034606645,0.8242255917447436,1.7382411879645105,28.93959225697556,2.5917930674241383,1.2247448713915892
2013-05-14,33.142857142857146,1014.952380952381,283.79857142857145,279.04761904761904,6.333333333333333,1.4285714285714286,19,1009,279.93,250.0,4.0,1,45,1017,287.81,320.0,9.0,4,34.0,1016.0,283.92,280.0,7.0,1.0,6.959063976467772,2.1325147238926823,2.21751050891375,18.13966976126134,1.7126976771553508,0.7464200272921789
2013-05-15,38.23809523809524,1018.6666666666666,283.8957142857143,310.95238095238096,5.190476190476191,1.2857142857142858,14,1017,278.17,270.0,4.0,1,61,1020,289.36,340.0,8.0,2,40.0,1019.0,283.59,310.0,5.0,1.0,16.055854888185685,1.0165300454651347,4.0170792516809986,15.781242633190171,1.2090925365350504,0.4629100498862759
2013-05-16,48.6,1017.35,285.74249999999995,179.15,2.9,1.4,17,1014,281.48,0.0,0.0,1,86,1024,293.37,260.0,8.0,4,47.0,1017.0,284.32,185.0,3.0,1.0,16.822290976089153,2.033275811668419,3.8931611766491554,55.68924586725123,2.125038699338017,0.9403246919632545
2013-05-17,77.45454545454545,1006.9090909090909,291.00363636363636,38.18181818181818,0.8181818181818182,2.272727272727273,31,1005,287.31,0.0,0.0,1,100,1008,298.52,210.0,5.0,3,87.0,1007.0,289.57,0.0,0.0,3.0,24.97344043724707,0.9438798074485474,3.817680638102838,84.9491826703685,1.8340219092574557,0.904534033733291
2013-05-18,45.0,1014.0,290.45250000000004,291.25,2.0,1.875,33,1011,287.7,0.0,0.0,1,82,1019,293.81,350.0,3.0,2,39.0,1014.0,290.565,330.0,2.0,2.0,16.27443218232645,2.976095236571352,2.0736424130362763,118.49502702042575,0.9258200997725514,0.3535533905932738
2013-05-19,76.33333333333333,1023.8888888888889,286.26444444444445,42.22222222222222,0.4444444444444444,1.6666666666666667,55,1023,285.12,0.0,0.0,1,87,1026,289.26,230.0,2.0,4,81.0,1024.0,285.51,0.0,0.0,1.0,13.257073583562855,1.0540925533894467,1.466706438854671,86.136197062817,0.881917103688197,0.9999999999999999
2013-05-20,90.66666666666667,1025.3333333333333,286.93944444444446,108.33333333333333,2.2222222222222223,3.111111111111111,76,1023,286.26,0.0,0.0,1,100,1027,287.56,190.0,5.0,4,93.0,1026.0,286.995,135.0,2.5,3.0,6.747548574460649,1.084652289093273,0.45299619816898007,71.72250446727877,1.8005082797253327,0.9002541398626664
2013-05-21,87.35,1020.3,290.3015,94.15,1.55,2.55,61,1016,287.04,0.0,0.0,1,100,1029,298.6,293.0,5.0,4,93.0,1019.5,287.355,55.0,1.0,3.0,13.800362314084355,2.8302873203598096,4.472060957827631,105.79636597081952,1.6693837501494848,0.9445132413883327
2013-05-22,83.5,1016.0,294.3478571428572,105.57142857142857,1.5,2.5,54,1012,291.03,0.0,0.0,1,100,1027,302.84,250.0,6.0,3,88.0,1015.0,293.025,79.0,0.0,3.0,13.765899897936203,3.9807227793647892,3.717273977550735,110.70384211643541,1.9903613896824017,0.8548504142651104
2013-05-23,80.73684210526316,1012.8421052631579,294.11105263157896,85.36842105263158,2.3157894736842106,2.5789473684210527,61,1010,288.83,0.0,0.0,1,93,1023,300.03,210.0,6.0,4,82.0,1012.0,294.23,50.0,2.0,3.0,8.887207443305853,2.7338039817306443,3.4457814703664154,66.03299724490928,1.7013926184468013,0.8377078165833909
2013-05-24,81.45,1011.1,295.03599999999994,123.5,3.0,2.1,54,1009,293.31,0.0,0.0,1,100,1012,297.83,230.0,8.0,6,85.5,1011.0,294.445,170.0,2.5,1.0,12.34791693491574,0.9679060415469363,1.5859660844585135,94.6614466067586,2.8837110593268895,1.4473205733717958
2013-05-25,86.79166666666667,1008.4583333333334,288.70874999999995,231.66666666666666,3.6666666666666665,2.5416666666666665,71,1005,282.04,0.0,0.0,1,100,1012,293.06,340.0,8.0,4,88.0,1008.5,290.305,275.0,3.0,3.0,6.573855771930579,2.1260121204339617,3.6434984531711865,112.15930699200818,2.513730411104211,1.4738050920238275
2013-05-26,81.75,1013.1666666666666,280.7666666666667,313.0833333333333,5.916666666666667,3.0,76,1012,280.27,277.0,4.0,1,88,1015,282.44,330.0,8.0,4,81.0,1013.0,280.49,320.0,6.0,4.0,3.8641710859922056,0.9374368665610902,0.636986275481277,13.734219594821834,1.1645001528813146,1.477097891751993
2013-05-27,62.6,1016.3,282.55,284.8,4.8,1.7,53,1016,281.63,230.0,3.0,1,77,1017,285.06,330.0,8.0,2,61.0,1016.0,282.245,290.0,4.5,2.0,7.396695959082754,0.48304589153964633,1.0506611674983024,31.044054717986377,1.8737959096740262,0.48304589153964794
2013-05-28,66.36363636363636,1023.0909090909091,285.01545454545453,97.54545454545455,0.9090909090909091,2.0,28,1021,281.12,0.0,0.0,1,93,1024,295.59,270.0,4.0,3,75.0,1023.0,283.64,0.0,0.0,2.0,24.38964012556449,0.831209414593623,4.6199574968529005,117.04645542378773,1.300349603340998,0.4472135954999579
2013-05-29,80.0625,1022.6875,287.51609375000004,64.3125,1.3125,2.4375,42,1021,284.61,0.0,0.0,1,100,1028,292.03,242.0,6.0,4,87.0,1022.5,287.20375,40.5,0.0,2.0,15.766922126189794,1.579820664927937,1.9318706324764532,84.75353974908658,1.8874586088176875,1.2093386622447821
2013-05-30,88.15789473684211,1019.3157894736842,289.6278947368421,58.68421052631579,1.1578947368421053,2.8421052631578947,67,1016,287.53,0.0,0.0,1,100,1021,301.83,240.0,3.0,4,87.0,1019.0,287.69,50.0,1.0,3.0,8.770298093848963,1.1572300058975808,3.925050005268678,74.27131391173472,1.067872125861979,0.6882472016116852
2013-05-31,76.33333333333333,1018.9166666666666,298.1425,84.25,1.0,2.0,55,1018,294.49,0.0,0.0,1,94,1020,305.95,298.0,4.0,3,78.0,1019.0,296.32500000000005,0.0,0.0,2.0,12.780193008453871,0.6685579234215229,4.343356734977308,125.96040142549852,1.5954480704349312,0.6030226891555273
2013-06-01,71.27777777777777,1018.6666666666666,299.99666666666667,111.16666666666667,1.5,1.9444444444444444,38,1016,294.68,0.0,0.0,1,93,1020,306.11,271.0,4.0,3,71.0,1019.0,298.94,154.0,1.0,2.0,16.134747142718947,1.1881770515720422,4.190586088449429,107.55641474566349,1.6890651782777917,0.639137490706142
2013-06-02,80.27272727272727,1015.6363636363636,298.0227272727272,48.27272727272727,0.8181818181818182,1.8181818181818181,59,1012,294.43,0.0,0.0,1,94,1017,304.49,205.0,3.0,3,82.0,1016.0,296.49,0.0,0.0,2.0,11.064275024518404,1.501514387059091,3.747764909673732,83.38595914072214,1.4012980994907414,0.6030226891555273
2013-06-03,74.81818181818181,1011.7272727272727,297.7863636363636,127.36363636363636,1.9090909090909092,1.8181818181818181,66,1008,295.31,0.0,0.0,1,83,1013,302.16,237.0,8.0,2,74.0,1012.0,296.93,186.0,1.0,2.0,4.792038852475674,1.4893561757289144,2.5759630149801107,102.08454606577111,2.844452335847639,0.40451991747794525
